id,iddrink,idingredient,strmeasure
978,12712,217,1 cup
979,12712,317,01-Apr
980,12712,47,01-Feb
981,11936,86,3 dashes
982,11936,156,2 oz
983,11542,155,1 1/2 oz
984,11542,235,1 tsp
985,11542,222,Juice of 1/2
986,11121,283,1 1/2 oz
987,11121,127,1 1/2 oz
988,11121,184,1 1/4 tsp
989,11121,182,1 twist of
990,12107,303,5 oz
991,12107,156,1 1/2 oz
992,12107,61,1/4 tsp
993,17256,156,1 1/2 oz
994,17256,283,1 1/2 oz
995,17256,241,1 tsp
996,17256,64,2 dashes
997,14282,72,3/4 oz
998,14282,101,3/4 oz
999,14282,313,Fill with
1000,11029,122,6 oz hot
1001,11029,97,2 oz
1002,11029,186,Chilled
1003,12854,18,1 fifth
1004,12854,225,1 1/2 cup mild
1005,12854,344,2 tsp dried and chopped
1006,12854,17,1/4 tsp crushed
1007,12854,182,2 2 inch strips
1008,11379,156,1 1/2 oz
1009,11379,264,2 tsp superfine
1010,11379,208,1 1/2 oz
1011,11379,290,4 oz Chilled
1012,11379,300,1
1013,11379,174,1
1014,17065,169,1 bottle
1015,17065,132,1 shot
1016,12572,11,10 cl
1017,12572,277,6 cl
1018,12572,208,1 cl
1019,12572,235,1 cl
1020,12564,197,2 cups
1021,12564,128,1 large
1022,11422,350,1 oz
1023,11422,97,1 oz
1024,11422,205,1 oz
1025,13427,132,2-3 oz
1026,13427,222,Juice of 1
1027,13427,264,2 tsp
1028,13427,210,02-Apr
1029,13427,313,1
1030,11222,132,2 oz
1031,11222,251,1 1/2 tsp
1032,11222,66,1 1/2 tsp
1033,11222,175,1 1/2 tsp
1034,11961,235,1 tblsp
1035,11961,337,1/2 oz
1036,12127,124,1 tsp
1037,12127,264,1/2 tsp superfine
1038,12127,105,2 dashes
1039,12127,220,1 tsp
1040,12127,30,2 oz
1041,12127,182,1 twist of
1042,11060,127,1 1/2 oz
1043,11060,283,1/2 oz
1044,11060,24,1/2 oz
1045,11060,86,2 dashes
1046,13086,188,5 oz
1047,13086,350,1 oz
1048,13086,227,1/2 oz
1049,13086,251,1/2 oz
